epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3600.2,1.22377,0.77688,1.32563,0.93182,0.86133,0.93251,0.52196,1.38811,0.66515,1.53596,0.000440067,0.000440067,0.000440067
63,3677.68,1.2243,0.77937,1.32981,0.89494,0.86181,0.92813,0.51559,1.38683,0.65387,1.54368,0.000429068,0.000429068,0.000429068
64,3733.62,1.20404,0.75928,1.32168,0.88116,0.87639,0.91917,0.51195,1.40826,0.66277,1.55825,0.000418069,0.000418069,0.000418069
65,3830.25,1.20929,0.7753,1.33205,0.9039,0.87221,0.91721,0.50995,1.38611,0.66078,1.53381,0.00040707,0.00040707,0.00040707
66,3912.1,1.21691,0.75217,1.32936,0.85492,0.84373,0.89787,0.49763,1.39106,0.6727,1.52268,0.000396071,0.000396071,0.000396071
67,4040.23,1.20072,0.77054,1.33006,0.90549,0.87419,0.92024,0.50464,1.37392,0.66505,1.53425,0.000385073,0.000385073,0.000385073
68,4101.93,1.17839,0.74317,1.28466,0.87898,0.89535,0.93231,0.51424,1.38943,0.66463,1.5356,0.000374074,0.000374074,0.000374074
69,4215.79,1.19585,0.75132,1.31482,0.86713,0.85968,0.91206,0.51769,1.36325,0.66725,1.51036,0.000363075,0.000363075,0.000363075
70,4322.04,1.17349,0.73146,1.27768,0.87903,0.87548,0.90822,0.51814,1.40111,0.67746,1.5409,0.000352076,0.000352076,0.000352076
71,4489.64,1.17129,0.71829,1.30389,0.93067,0.81803,0.91102,0.51014,1.38322,0.66341,1.51889,0.000341077,0.000341077,0.000341077
72,4564.78,1.16072,0.73547,1.30898,0.92095,0.84921,0.92512,0.52464,1.37426,0.65967,1.53011,0.000330078,0.000330078,0.000330078
73,4648.58,1.15716,0.72664,1.29758,0.90531,0.8348,0.91278,0.5127,1.38218,0.64099,1.54559,0.000319079,0.000319079,0.000319079
74,4784.08,1.18245,0.735,1.31013,0.87898,0.81192,0.90012,0.50617,1.3859,0.66036,1.53276,0.00030808,0.00030808,0.00030808
75,4857.86,1.20988,0.75786,1.3106,0.90442,0.85034,0.90615,0.5113,1.38625,0.64462,1.52452,0.000297081,0.000297081,0.000297081
76,4950.82,1.20437,0.74061,1.3052,0.91244,0.83073,0.90662,0.50502,1.40015,0.6592,1.54047,0.000286083,0.000286083,0.000286083
77,4991.31,1.20314,0.74543,1.29199,0.88936,0.83463,0.90134,0.50106,1.39421,0.65889,1.5544,0.000275084,0.000275084,0.000275084
78,5083.89,1.18868,0.74552,1.32573,0.91609,0.82933,0.91542,0.50322,1.39661,0.64564,1.54887,0.000264085,0.000264085,0.000264085
79,5178.43,1.1852,0.74203,1.30349,0.9326,0.81172,0.90867,0.51272,1.39552,0.6449,1.53064,0.000253086,0.000253086,0.000253086
80,5280.24,1.17046,0.72128,1.29422,0.87548,0.88685,0.92192,0.50846,1.38478,0.64667,1.52762,0.000242087,0.000242087,0.000242087
81,5404.18,1.18055,0.74169,1.29516,0.90035,0.84252,0.90729,0.50865,1.38029,0.64376,1.52973,0.000231088,0.000231088,0.000231088
82,5719.07,1.16435,0.71951,1.3076,0.91333,0.84309,0.90215,0.49873,1.39693,0.65285,1.53921,0.000220089,0.000220089,0.000220089
83,5860.1,1.15865,0.70659,1.30138,0.8704,0.87408,0.91454,0.50326,1.3789,0.63754,1.53012,0.00020909,0.00020909,0.00020909
84,5997.15,1.14598,0.71467,1.29173,0.89265,0.85862,0.92056,0.51585,1.38986,0.64536,1.54715,0.000198091,0.000198091,0.000198091
85,6062.99,1.16815,0.72445,1.29017,0.89714,0.85988,0.90366,0.51103,1.39149,0.65028,1.55419,0.000187092,0.000187092,0.000187092
86,6167.76,1.16714,0.71184,1.30249,0.90274,0.84789,0.92721,0.50995,1.40111,0.63804,1.55919,0.000176094,0.000176094,0.000176094
87,65.5359,1.13008,0.69625,1.29359,0.90647,0.85382,0.92158,0.51125,1.39394,0.64012,1.55816,0.000165095,0.000165095,0.000165095
88,131.85,1.10501,0.66234,1.2672,0.90994,0.8558,0.93092,0.52071,1.38542,0.63207,1.54854,0.000154096,0.000154096,0.000154096
89,187.192,1.11713,0.67905,1.25522,0.91382,0.83086,0.91876,0.51807,1.39136,0.64972,1.55256,0.000143097,0.000143097,0.000143097
90,280.01,1.0958,0.66633,1.26243,0.91465,0.81955,0.91579,0.50691,1.38865,0.6332,1.54441,0.000132098,0.000132098,0.000132098
